City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bonavista,CA,37.0,light rain,48.6499,-53.1147,Abbott's Bed & Breakfast
4,Mataura,NZ,51.78,broken clouds,-46.1927,168.8643,Ellie's Villa
5,Ribeira Grande,PT,53.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
6,Kapaa,US,68.0,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
8,Hermanus,ZA,64.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
9,Hobart,AU,57.99,light intensity drizzle,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
12,Busselton,AU,51.01,clear sky,-33.65,115.3333,Observatory Guest House
16,Hofn,IS,33.8,overcast clouds,64.2539,-15.2082,Hótel Höfn
17,Namibe,AO,73.27,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
18,Nangomba,TZ,73.44,scattered clouds,-10.9,38.5,
21,Tanout,NE,69.21,clear sky,14.9709,8.8879,
22,Port Elizabeth,ZA,68.0,clear sky,-33.918,25.5701,39 On Nile Guest House
23,Ushuaia,AR,55.4,few clouds,-54.8,-68.3,Albatros Hotel
29,Marfino,RU,26.01,snow,55.7028,37.3822,ARK guest house
30,Chenzhou,CN,56.7,overcast clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
31,Port Hardy,CA,41.0,broken clouds,50.6996,-127.4199,Airport Inn
32,Albany,US,32.0,light snow,42.6001,-73.9662,
33,Port Lincoln,AU,65.23,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
34,Punta Arenas,CL,64.4,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
37,Kinsale,IE,46.99,broken clouds,51.7075,-8.5306,Actons Hotel Kinsale
40,Bluff,NZ,52.29,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
41,Kutum,SD,68.74,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
47,Xuddur,SO,74.3,scattered clouds,4.1213,43.8894,Banjanay Hotel
48,Lebu,CL,64.18,clear sky,-37.6167,-73.65,Hostal Las Lilas
49,Port Alfred,ZA,69.01,clear sky,-33.5906,26.891,The Halyards Hotel
50,Yining,CN,53.47,overcast clouds,29.0361,114.5636,Xiushui Hotel
52,Tottori,JP,34.11,clear sky,35.5,134.2333,Hotel Monarque Tottori
56,Tasiilaq,GL,27.79,light snow,65.6145,-37.6368,The Red House
57,Cape Town,ZA,71.01,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
59,New Norfolk,AU,57.99,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
61,Naze,JP,51.42,clear sky,28.3667,129.4833,奄美ポートタワーホテル
