City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,78.8,89,75,4.61,moderate rain
1,Castro,BR,-24.7911,-50.0119,80.85,70,12,4.05,few clouds
2,Qaanaaq,GL,77.484,-69.3632,-21.5,68,73,2.8,broken clouds
3,Bonavista,CA,48.6499,-53.1147,37.0,100,100,4.61,light rain
4,Mataura,NZ,-46.1927,168.8643,51.78,67,54,5.26,broken clouds
5,Ribeira Grande,PT,38.5167,-28.7,53.6,66,40,26.46,scattered clouds
6,Kapaa,US,22.0752,-159.319,68.0,88,75,8.05,broken clouds
7,Saint-Philippe,RE,-21.3585,55.7679,80.6,74,0,2.3,clear sky
8,Hermanus,ZA,-34.4187,19.2345,64.0,86,4,6.13,clear sky
9,Hobart,AU,-42.8794,147.3294,57.99,100,90,4.61,light intensity drizzle
10,Guiratinga,BR,-16.3494,-53.7583,88.61,54,98,1.21,overcast clouds
11,Avarua,CK,-21.2078,-159.775,84.2,74,20,9.22,light rain
12,Busselton,AU,-33.65,115.3333,51.01,79,0,17.78,clear sky
13,Cabo San Lucas,MX,22.8909,-109.9124,87.8,22,20,14.97,few clouds
14,Pevek,RU,69.7008,170.3133,-9.35,73,0,8.34,clear sky
15,Tuktoyaktuk,CA,69.4541,-133.0374,-41.8,66,75,4.61,fog
16,Hofn,IS,64.2539,-15.2082,33.8,64,90,8.05,overcast clouds
17,Namibe,AO,-15.1961,12.1522,73.27,71,100,7.16,overcast clouds
18,Nangomba,TZ,-10.9,38.5,73.44,87,45,1.97,scattered clouds
19,Dikson,RU,73.5069,80.5464,-2.87,91,100,18.32,overcast clouds
20,Banda Aceh,ID,5.5577,95.3222,77.94,80,62,13.22,broken clouds
21,Tanout,NE,14.9709,8.8879,69.21,21,0,12.53,clear sky
22,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,0,8.05,clear sky
23,Ushuaia,AR,-54.8,-68.3,55.4,58,20,17.27,few clouds
24,Labuan,MY,5.2767,115.2417,78.8,89,20,8.05,few clouds
