City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-02-03 20:04:29,-53.15,-70.9167,64.4,59,75,14.97
1,George,ZA,2021-02-03 20:04:29,-33.963,22.4617,64.4,94,20,5.75
2,Puerto Ayora,EC,2021-02-03 20:03:40,-0.7393,-90.3518,86.0,66,0,21.85
3,Ribeira Grande,PT,2021-02-03 20:02:51,38.5167,-28.7,53.6,66,40,26.46
4,Bluff,NZ,2021-02-03 20:00:32,-46.6,168.3333,52.29,71,100,15.03
5,Cassia,BR,2021-02-03 20:04:29,-20.5831,-46.9219,80.06,79,81,2.26
6,Havelock,US,2021-02-03 20:04:29,34.8791,-76.9013,50.0,29,20,20.71
7,Maumere,ID,2021-02-03 20:04:30,-8.6199,122.2111,78.82,81,100,7.87
8,Hobart,AU,2021-02-03 20:00:19,-42.8794,147.3294,57.99,100,90,4.61
9,Yulara,AU,2021-02-03 20:01:12,-25.2406,130.9889,86.0,17,90,4.61
10,Khatanga,RU,2021-02-03 20:03:35,71.9667,102.5,-5.78,91,100,8.77
11,Savinka,RU,2021-02-03 20:04:30,50.0785,47.0994,36.39,99,100,6.22
12,Ancud,CL,2021-02-03 20:04:30,-41.8697,-73.8203,71.6,56,0,6.91
13,Namatanai,PG,2021-02-03 20:04:30,-3.6667,152.4333,79.7,83,100,6.93
14,Busselton,AU,2021-02-03 20:04:30,-33.65,115.3333,51.01,79,0,17.78
15,Kodiak,US,2021-02-03 20:02:50,57.79,-152.4072,28.4,93,1,3.44
16,Tasiilaq,GL,2021-02-03 20:04:31,65.6145,-37.6368,27.79,97,91,27.02
17,Tiksi,RU,2021-02-03 20:04:31,71.6872,128.8694,-28.23,85,30,1.61
18,Albany,US,2021-02-03 20:03:45,42.6001,-73.9662,32.0,66,100,11.99
19,Jamestown,US,2021-02-03 20:01:50,42.097,-79.2353,30.99,69,1,16.11
20,Ushuaia,AR,2021-02-03 20:03:33,-54.8,-68.3,55.4,58,20,17.27
